schol_id,University,Major,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Accomodation_duration,Expense_To_Pay,Expense_duration
3246,Shandong University,International Law,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3247,Shandong University,Occupational and Environmental Health,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3248,Shandong University,Organic Chemistry,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3249,Shandong University,Epidemiology and Health Statistics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3250,Shandong University,Global Economics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3251,Shandong University,English Language and Literature,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3252,Shandong University,Control Science and Engineering,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3253,Shandong University,Computational Mathematics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3254,Shandong University,Biomedical Engineering,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3255,Shandong University,Botany,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3256,Shandong University,Pharmaceutics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3257,Shandong University,Regional Economics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3258,Shandong University,Environmental Science(School of Environmental Science and Engineering),Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3259,Shandong University,Polymer Chemistry and Physics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3260,Shandong University,Electronic Science and Technology,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3261,Shandong University,Electrical Engineering,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3262,Shandong University,Condensed Matter Physics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3263,Shandong University,Analytical Chemistry,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3264,Shandong University,Oncology,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3265,Shandong University,Finance(The Center for Economic Research),Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3266,Shandong University,Surgery (Neurosurgery),Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3267,Shandong University,Financial Mathematics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3268,Shandong University,International Trade,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
